Camera,LOCATION_LAT,LOCATION_LON,LOCATION_ELEV,Site Description
ICOSFR-Fon1,48.476336,2.780100,115,"Deciduous Broadleaf oak Forest, Essonne, France"
imcrkfen,68.605830,-149.311010,900,"Imnavait Creek Fen, AON IC_1523, Alaska"
imcrkridge0,68.606810,-149.295800,951,"Imnavait Creek Ridge, camera-0, AON IC_1991, Alaska"
imcrkridge1,68.606810,-149.295800,951,"Imnavait Creek Ridge, camera-1, AON IC_1991, Alaska"
imcrktussock,68.606330,-149.304080,918,"Imnavait Creek Tussock, AON IC_1993, Alaska"
inden001,50.882000,6.366000,93,"Inden 1 lignite opencast mine, agriculture , north rhine Westphalia, Germany"
inden002,50.882000,6.366000,93,"Inden 2 lignite opencast mine, agriculture , north rhine Westphalia, Germany"
innsbruck,47.116171,11.320308,972,"Neustift Field Site, Stubai Valley, Tyrol, Austria"
institutekarnobat,42.655800,26.983700,262,Institute of Agriculture in Karnobat (selection fields)
intervale,44.273525,-73.949244,500,"Intervale Lowlands Preserve, Lake Placid, New York"
it25matschb1p,46.676700,10.577300,1106,LTSER IT25 - Matsch/Mazia - Pasture station B1p
it25matschb2,46.686300,10.579800,1490,LTSER IT25 - Matsch/Mazia - Meadow station B2
it25matschb3,46.691700,10.591900,1930,LTSER IT25 - Matsch/Mazia - Meadow station B3
it25matschf6,46.695500,10.648000,2360,LTSER IT25 - Matsch/Mazia - Forest station F6
it25matschp2,46.684200,10.585100,1550,LTSER IT25 - Matsch/Mazia - Pasture station P2
it25matschs3,46.766700,10.710800,2680,LTSER IT25 - Matsch/Mazia - Proglacial station S3
it25matschs4,46.707000,10.602300,2400,LTSER IT25 - Matsch/Mazia - River catchment station S4
ivotuk,68.482874,-155.751664,600,"Ivotuk, Alaska"
jadraas,60.814800,16.506300,173,"Jädraås Experimental Forest, Sweden"
jasperridge,37.402028,-122.221040,197,"Jasper Ridge Biological Preserve, Woodside, California"
jerbajada,32.579920,-106.633793,1402,"Jornada Experimental Range, New Mexico"
jergrassland,32.583300,-106.833300,1331,Black grama grassland at Jornada Experimental Range
jergrassland2,32.584900,-106.826100,1328,Black grama grassland at Jornada Experimental Range
jernort,32.619000,-106.788000,1328,"Jornada Experimental Range, New Mexico"
jernovel,32.633500,-106.833400,1324,Grass-recovered shrubland on Jornada Experimental Range
jernovel2,32.646500,-106.833300,1330,Grass-recovered shrubland on Jornada Experimental Range
jernwern,32.627100,-106.738700,1325,"National Wind Erosion Research Network site, Jornada Experimental Range, New Mexico"
jersand,32.515000,-106.798000,1363,"Jornada Experimental Range, New Mexico"
jershrubland,32.650200,-106.833400,1328,Honey mesquite shrubland on Jornada Experimental Range
jershrubland2,32.663800,-106.831000,1336,Honey mesquite shrubland on Jornada Experimental Range
joycekilmer,35.257000,-83.795000,1373,"Joyce Kilmer Slickrock Wilderness, North Carolina"
juncabalejo,36.936193,-6.378451,1,"Middle of Doñana marshes, Spain"
junipersavannah,34.425400,-105.861500,1931,"Juniper Savannah Site, near Willard, NM"
jurong,31.806800,119.217300,15,"Jurong Observation Station (JROS), farmland, summer rice-winter wheat rotation, Jurong City, about 60 km southeast of Nanjing, China."
kamuela,20.015008,-155.661326,850,"Parker Ranch, Waimea, Hawaii"
kamuela2,20.014959,-155.661139,830,"Parker Ranch, Waimea, Hawaii"
kansas,39.056100,-95.190700,333,"KU Field Station, University of Kansas, Kansas"
kaweah,36.443500,-118.909250,261,"Kaweah / Sequoia and Kings Canyon National Park, Three Rivers, California"
kelloggcorn,42.437536,-85.322547,288,"Kellogg Biological Station, Michigan"
kelloggcorn2,42.396000,-85.375600,285,"Corn 2, Kellogg Biological Station, Michigan"
kelloggcorn3,42.396010,-85.374250,287,"Corn 3, Kellogg Biological Station, Michigan, USA"
kelloggcornsoy,42.396010,-85.375290,285,"Corn/Soy, Kellogg Biological Station, Michigan, USA"
kelloggcornsoy2,42.395760,-85.374250,287,"Corn/Soy 2, Kellogg Biological Station, Michigan, USA"
kellogghybridpoplar,42.395270,-85.375300,283,"Hybrid Poplar, Kellogg Biological Station, Michigan, USA"
kelloggmiscanthus,42.395280,-85.375610,285,"Miscanthus, Kellogg Biological Station, Michigan, USA"
kelloggnativegrass,42.395760,-85.374560,286,"Native Grass, Kellogg Biological Station, Michigan, USA"
kelloggoldfield,42.396010,-85.374560,286,"Old Field, Kellogg Biological Station, Michigan, USA"
kelloggrestoredprairie,42.395760,-85.375280,285,"Restored prairie, Kellogg Biological Station, Michigan, USA"
kelloggswitchgrass,42.395760,-85.375600,285,"Switchgrass ,Kellogg Biological Station, Michigan, USA"
kempnrs,45.839920,-89.677550,539,"Kemp Natural Resources Station, Woodruff, WI"
kendall,31.736520,-109.941850,1529,"Kendall Grassland, Arizona"
kenyasavannahkcl,-1.603500,37.095000,1681,"Main tower, Kenya savannah/scrub grazed by managed cattle."
keplerltar,40.723100,-77.924500,378,"Kepler Farm PSU, LTAR small plot various crop rotations"
kingmanfarm,43.171700,-70.925900,90,"Kingman Farm (managed hayfield), Madbury, New Hampshire"
kirindymitea,-20.786300,44.164700,73,"Ankoatsifaka Research Station, Kirindy Mitea National Park, Madagascar"
konza,39.082400,-96.560300,443,"Konza Prairie Biological Station, Kansas State University, Kansas"
lacclair,46.952092,-71.669578,313,"Lac Clair, Quebec, Canada"
laclaflamme,47.322678,-71.121453,784,"Lac LaFlamme, Quebec, Canada"
laselva,10.430300,-84.007100,92,"PhotoSpec Tower, La Selva Biological Station, Costa Rica"
laselva2,10.430300,-84.007100,92,"Branch Chamber Tower, La Selva Biological Station, Costa Rica"
laudernz01,-45.038300,169.681400,387,"Low intensity grazed grassland, Lauder, Central Otago, New Zealand"
laupahoehoe,19.932200,-155.291200,1145,"Climate Tower in Hawai'i Experimental Tropical Forest, Laupahoehoe, Hawai'i"
laurentides,45.988100,-74.005500,350,"Station de biologie des Laurentides, University of Montreal, St-Hippolyte, Quebec, Canada"
ldeocam,41.003900,-73.905300,121,"Located on the Lamont-Doherty Earth Observatory, Columbia University campus in Palisades, NY, U.S.A. South facing view of the Palisades Interstate Park. Forest vegetation is oak-maple dominated temperate broadleaf deciduous (e.g. Quercus rubra, Quercus alba, Acer rubrum and Acer platanoides)."
lethbridge,49.709190,-112.940250,950,"Lethbridge Grassland Ecosystem Site, Lethbridge, Alberta"
limnopolarlake1b,-62.647200,-61.108100,74,"Limnopolar Lake CALM Site (Camera 2), Byers Peninsula, Livingston Island, Antarctica."
limnopolarlake2,-62.648700,-61.101400,77,"Limnopolar Lake CALM-S site (Camera 2), Byers Peninsula, Livingston Island, South Shetland Archipelago, Antarctica"
lisbran,4.740556,-75.580528,1874,"Humedal Lisbran, Colombia"
lisbran2,4.737492,-75.583778,1828,"Humedal Lisbran, Colombia"
lisbran3,4.737889,-75.582311,1860,"Humedal Lisbran, Colombia"
litchidashu,22.768700,120.441400,110,"Litchi orchard in Kaohsiung City, Taiwan"
litchihengchun,21.992700,120.729500,30,"Litchi orchard in Pingtung County, Taiwan"
lostcreek,46.082700,-89.979200,480,"Lost Creek, Wisconsin"
lspdisturbedmarsh,46.165000,-72.685000,6,LSP-Disturbed Marsh Agricultural Site
luckyhills,31.743896,-110.052023,1366,"Walnut Gulch, Lucky Hills Shrubland, Arizona"
macleish,42.448400,-72.680400,251,"Canopy forest, MacLeish Field Station, Whately, Massachusetts"
macordway,44.810600,-93.027200,264,Macalester Ordway Field Station
mammothcave,37.185833,-86.101944,226,"Environmental Learning Center, Mammoth Cave National Park, Kentucky"
mandanh5,46.775423,-100.951090,593,"Dryland Cropping System, Mandan, North Dakota"
mandani2,46.761400,-100.925700,590,"Dryland Cropping System, Mandan, North Dakota"
manilacotton,35.887200,-90.137100,73,"Manila Cotton Field, AR"
marcell,47.513900,-93.469250,422,"Marcell Experimental Forest, Minnesota"
marena,36.064340,-97.212710,327,"Marena Site, Oklahoma Weather Labs, Oklahoma"
mataflux,-23.061000,-48.646300,820,MataFlux restoration planting
mayberry,38.049772,-121.765069,-5,"Mayberry Slough, Twitchell Island, Antioch, California"
mbayfireplot,17.319500,-88.556900,76,"Monkey Bay Fire Effects Plot, Belize"
mbaysavanna,17.319200,-88.567100,76,"Pine savanna, Monkey Bay Wildlife Sanctuary, Belize"
mead1,41.165100,-96.476600,361,US-Ne1 Mead - irrigated continuous maize site
mead2,41.164900,-96.470100,362,US-Ne2 Irrigated maize-soybean rotation
mead3,41.179700,-96.439700,363,US-Ne3 Rainfed maize-soybean rotation
meadpasture,41.144700,-96.461600,356,Platte River - High Plains Aquifer LTAR Pasture (BAU)
meadpasturese,41.144700,-96.461600,356,"Platte River - High Plains Aquifer LTAR Pasture (BAU), southeast view"
meadpasturesw,41.144700,-96.461600,356,"Platte River - High Plains Aquifer LTAR Pasture (BAU), southwest view"
merbleue,45.409400,-75.518700,69,"Mer Bleue Conservation Area, Ottawa, Ontario"
millhaft,52.800796,-2.298830,137,"Norbury, Staffordshire, UK"
millhaft06,52.800800,-2.298800,137,"BIFoR, Millhaft, Area 6"
millhaft07,52.800800,-2.298800,137,"BIFoR, Millhaft, Area 7"
millhaft2,52.800800,-2.298800,124,Mixed plantation
millhaftmanormeadow,52.802900,-2.297500,115,Mill Haft Manor Meadow
missouriozarks,38.744100,-92.200000,219,"University of Missouri, Ashland Wildlife Research Area, Missouri"
monteblanco,37.022400,-6.554900,20,Casa Control Reserva Biológica de Doñana matorral
montebondonegrass,46.014700,11.045800,1550,"Monte Bondone grassland FLUXNET site, Monte Bondone, Italy"
montebondonepeat,46.017700,11.040900,1563,"Monte Bondone peatland site, Monte Bondone, Italy"
montenegro,36.992313,-6.482561,12,"Doñana, Spain"
montmegmsj,45.423400,-71.125800,599,"Sugar maple to balsam fir, Mont Saint-Joseph from AstroLab, Parc national du Mont-Megantic, Québec"
monture,47.020187,-113.128323,1255,"Lolo National Forest, Ovando, Montana"
moorefields,43.138300,-70.960900,90,"University of New Hampshire, Moore Fields, Durham, NH"
morganmonroe,39.323100,-86.413100,275,"Morgan Monroe State Forest, Indiana"
morganmonroe2,39.323100,-86.413100,275,"Morgan Monroe State Forest, Indiana"
moucherotte,45.125822,5.627998,,
mounthood,45.307000,-121.706000,1449,"Mount Hood National Forest, Oregon"
mountranier,46.783333,-121.733333,1650,"Paradise, Mount Rainier National Park, Washington"
mountzirkel,40.456550,-106.739870,3216,"Mount Zirkel Wilderness Area, Routt National Forest, Colorado"
mtrobson,53.033000,-119.199700,885,"Mt. Robson Provincial Park, British Columbia, Canada"
nahuku,19.415187,-155.238383,1202,"Thurston Lava Tube (Nahuku), Hawaii"
nationalcapital,38.888180,-77.069496,28,"Park Police Headquarters, National Capital Parks, Washington DC"
nationalelkrefuge,43.488931,-110.737824,1899,"National Elk Refuge, Wyoming"
ncloblolly1994,35.803100,-76.667900,23,"Main tower, NC2 at Parker Tract, Plymouth, NC"
ncssm,36.018446,-78.920750,175,"North Carolina School of Science and Mathematics, Durham, North Carolina"
NEON.D01.BART.DP1.00033,44.063869,-71.287375,285,"NEON Site - D01 (Northeast) Bartlett Experimental Forest, New Hampshire - top-of-tower camera"
NEON.D01.BART.DP1.00042,44.063869,-71.287375,285,"NEON Site - D01 (Northeast) Bartlett Experimental Forest, New Hampshire - mid-tower"
NEON.D01.HARV.DP1.00033,42.536911,-72.172650,359,"NEON Site - D01 (Northeast) Harvard Forest, Massachusetts - tower top"
NEON.D01.HARV.DP1.00042,42.536911,-72.172650,359,"NEON Site - D01 (Northeast) Harvard Forest, Massachusetts - mid-tower"
NEON.D01.HOPB.DP1.20002,42.471786,-72.329627,203,"NEON Site - D01 (Northeast) Hop Brook, Massachusetts - aquatic/stream-gauge camera"
NEON.D02.BLAN.DP1.00033,39.033698,-78.041788,162,"NEON Site - D02 (Mid-Atlantic) Blandy Experimental Farm, Virginia - tower top"
NEON.D02.BLAN.DP1.00042,39.033698,-78.041788,162,"NEON Site - D02 (Mid-Atlantic) Blandy Experimental Farm, Virginia - mid-tower"
NEON.D02.LEWI.DP1.20002,39.095640,-77.983220,152,"NEON Site - D02 (Mid-Atlantic) Lewis Run Site, RELOCATABLE, Virgina - aquatic/stream-gauge camera"
NEON.D02.POSE.DP1.20002,38.893320,-78.146780,293,"NEON Site - D02 (Mid-Atlantic) Posey Creek, Virgina - aquatic/stream-gauge camera"
NEON.D02.SCBI.DP1.00033,38.892925,-78.139494,364,"NEON Site - D02 (Mid-Atlantic) Smithsonian Conservation Biology Institute, Virginia - tower top"
NEON.D02.SCBI.DP1.00042,38.892925,-78.139494,364,"NEON Site - D02 (Mid-Atlantic) Smithsonian Conservation Biology Institute, Virginia - mid-tower"
NEON.D02.SERC.DP1.00033,38.890080,-76.560010,30,"NEON Site - D02 (Mid-Atlantic) Smithsonian Environmental Research Center , top"
NEON.D02.SERC.DP1.00042,38.890080,-76.560010,30,"NEON Site - D02 (Mid-Atlantic) Smithsonian Environmental Research Center , mid"
NEON.D03.BARC.DP1.20002,29.676473,-82.009089,35,"NEON Site - D03 (Southeast) Ordway-Swisher Biological Station - Barco Lake, Florida -"
NEON.D03.DSNY.DP1.00033,28.125050,-81.436190,22,"NEON Site - D03 (Southeast) Disney Wilderness Preserve, Florida - tower top"
NEON.D03.DSNY.DP1.00042,28.125050,-81.436190,22,"NEON Site - D03 (Southeast) Disney Wilderness Preserve, Florida - mid-tower"
NEON.D03.FLNT.DP1.20002,31.185424,-84.437403,27,"NEON Site - D03 (Southeast) Flint River, Georgia - aquatic/stream-gauge camera"
NEON.D03.JERC.DP1.00033,31.194839,-84.468623,58,"NEON Site - D03 (Southeast) Jones Ecological Research Center, Georgia - tower top"
NEON.D03.JERC.DP1.00042,31.194839,-84.468623,58,"NEON Site - D03 (Southeast) Jones Ecological Research Center, Georgia - mid-tower"
NEON.D03.OSBS.DP1.00033,29.689282,-81.993431,56,"NEON Site - D03 (Southeast) Ordway-Swisher Biological Station, Florida - tower top"
NEON.D03.OSBS.DP1.00042,29.689282,-81.993431,56,"NEON Site - D03 (Southeast) Ordway-Swisher Biological Station, Florida - mid-tower"
NEON.D03.SUGG.DP1.20002,29.687054,-82.016171,28,"NEON Site - D03 (Southeast) Suggs Lake, Florida - aquatic/stream-gauge camera"
NEON.D04.CUPE.DP1.20002,18.113520,-66.986760,164,"NEON Site - D04 (Atlantic Neotropical) Rio Cupeyes, Puerto Rico - aquatic/stream-gauge camera"
NEON.D04.GUAN.DP1.00033,17.969550,-66.868700,136,"NEON Site - D04 (Atlantic Neotropical) Guanica Forest, Puerto Rico - tower top"
NEON.D04.GUAN.DP1.00042,17.969550,-66.868700,136,"NEON Site - D04 (Atlantic Neotropical) Guanica Forest, Puerto Rico - mid-tower"
NEON.D04.GUIL.DP1.20002,18.174100,-66.798510,564,"NEON Site - D04 (Atlantic Neotropical) Rio Guilarte, Puerto Rico -"
NEON.D04.LAJA.DP1.00033,18.021261,-67.076889,22,"NEON Site - D04 (Atlantic Neotropical) Lajas Experimental Station, Puerto Rico - tower top"
NEON.D04.LAJA.DP1.00042,18.021261,-67.076889,22,"NEON Site - D04 (Atlantic Neotropical) Lajas Experimental Station, Puerto Rico - mid-tower"
NEON.D05.CRAM.DP1.20002,46.211110,-89.478250,518,"NEON Site - D05 (Great Lakes) Crampton Lake, Wisconsin - aquatic/stream-gauge camera"
NEON.D05.LIRO.DP1.20002,45.998269,-89.704767,495,"NEON Site - D05 (Great Lakes) Little Rock Lake, Wisconsin - aquatic/stream-gauge camera"
NEON.D05.STEI.DP1.00033,45.508940,-89.586370,476,"NEON Site - D05 (Great Lakes) Steigerwaldt Land Services, Wisconsin - top-of-tower camera"
NEON.D05.STEI.DP1.00042,45.508940,-89.586370,476,"NEON Site - D05 (Great Lakes) Steigerwaldt Land Services, Wisconsin - mid-tower camera"
NEON.D05.TREE.DP1.00033,45.493730,-89.585720,474,"NEON Site - D05 (Great Lakes) Treehaven, Wisconsin - tower top"
NEON.D05.TREE.DP1.00042,45.493730,-89.585720,474,"NEON Site - D05 (Great Lakes) Treehaven, Wisconsin - mid-tower"
NEON.D05.UNDE.DP1.00033,46.233910,-89.537254,529,"NEON Site - D05 (Great Lakes) UNDERC, Michigan - tower top"
NEON.D05.UNDE.DP1.00042,46.233910,-89.537254,529,"NEON Site - D05 (Great Lakes) UNDERC, Michigan - mid-tower"
NEON.D06.KING.DP1.20002,39.105060,-96.603360,339,"NEON Site - D06 (Prairie Peninsula) Kings Creek, Kansas - aquatic/stream-gauge camera"
NEON.D06.KONA.DP1.00033,39.110446,-96.612935,443,NEON Site - D06 (Prairie Peninsula) Konza Prairie Biological Station - top
NEON.D06.KONA.DP1.00042,39.110446,-96.612935,443,NEON Site - D06 (Prairie Peninsula) Konza Prairie Biological Station - mid
NEON.D06.KONZ.DP1.00033,39.100770,-96.563090,415,"NEON Site - D06 (Prairie Peninsula) Konza Prairie Biological Station, Kansas - top-of-tower camera"
NEON.D06.KONZ.DP1.00042,39.100770,-96.563090,415,"NEON Site - D06 (Prairie Peninsula) Konza Prairie Biological Station, Kansas - mid-tower camera"
NEON.D06.MCDI.DP1.20002,38.944280,-96.441970,376,NEON Site - D06 (Prairie Peninsula) McDiffett Creek - aquatic/stream-gauge camera
NEON.D06.UKFS.DP1.00033,39.040431,-95.192150,330,"NEON Site - D06 (Prairie Peninsula) The University of Kansas Field Station, Kansas - tower top"
NEON.D06.UKFS.DP1.00042,39.040431,-95.192150,330,"NEON Site - D06 (Prairie Peninsula) The University of Kansas Field Station, Kansas - mid-tower"
NEON.D07.GRSM.DP1.00033,35.688960,-83.501950,589,"NEON Site - D07 (Appalachians and Cumberland Plateau) Great Smoky Mountains National Park, Tennessee - tower top"
NEON.D07.GRSM.DP1.00042,35.688960,-83.501950,589,"NEON Site - D07 (Appalachians and Cumberland Plateau) Great Smoky Mountains National Park, Tennessee - mid-tower"
NEON.D07.LECO.DP1.20002,35.690430,-83.503790,578,"NEON Site - D07 (Appalachians & Cumberland Plateau) LeConte Creek, Tennessee - aquatic/stream-gauge camera"
NEON.D07.MLBS.DP1.00033,37.378314,-80.524847,1177,"NEON Site - D07 (Appalachians and Cumberland Plateau) Mountain Lake Biological Station, Virginia - tower top"
NEON.D07.MLBS.DP1.00042,37.378314,-80.524847,1177,"NEON Site - D07 (Appalachians and Cumberland Plateau) Mountain Lake Biological Station, Virginia - mid-tower"
NEON.D07.ORNL.DP1.00033,35.964128,-84.282588,351,"NEON Site - D07 (Appalachians and Cumberland Plateau) Oak Ridge, Tennessee - tower top"
NEON.D07.ORNL.DP1.00042,35.964128,-84.282588,351,"NEON Site - D07 (Appalachians and Cumberland Plateau) Oak Ridge, Tennessee - mid-tower"
NEON.D07.WALK.DP1.20002,35.959470,-84.280410,274,"NEON Site - D07 (Appalachians & Cumberland Plateau) Walker Ranch, TN"
NEON.D08.BLWA.DP1.20002,32.541529,-87.798151,23,"NEON Site - D08 (Ozarks Complex) Black Warrior River, Alabama - aquatic/stream-gauge camera"
NEON.D08.DELA.DP1.00033,32.541727,-87.803877,36,"NEON Site - D08 (Ozarks Complex) Dead Lake, Alabama - tower top"
NEON.D08.DELA.DP1.00042,32.541727,-87.803877,36,"NEON Site - D08 (Ozarks Complex) Dead Lake, Alabama - mid-tower"
NEON.D08.LENO.DP1.00033,31.853880,-88.161220,10,"NEON Site - D08 (Ozarks Complex) Lenoir Landing, AL - top of tower"
NEON.D08.LENO.DP1.00042,31.853880,-88.161220,10,"NEON Site - D08 (Ozarks Complex) Lenoir Landing, AL - mid tower"
NEON.D08.MAYF.DP1.20002,32.959657,-87.408128,93,"NEON Site - D08 (Ozark Complex) Mayfield Creek, AL"
NEON.D08.TALL.DP1.00033,32.950470,-87.393259,167,"NEON Site - D08 (Ozarks Complex) Talladega National Forest, Alabama - tower top"
NEON.D08.TALL.DP1.00042,32.950470,-87.393259,167,"NEON Site - D08 (Ozarks Complex) Talladega National Forest, Alabama - mid-tower"
NEON.D08.TOMB.DP1.20002,31.853431,-88.158872,10,"NEON Site - D08 (Ozarks Complex) Tombigbee River, Alabama - aquatic/stream-gauge camera"
NEON.D09.DCFS.DP1.00033,47.161647,-99.106556,574,"NEON Site - D09 (Northern Plains) Dakota Coteau Field School, North Dakota - top-of-tower camera"
NEON.D09.DCFS.DP1.00042,47.161647,-99.106556,574,"NEON Site - D09 (Northern Plains) Dakota Coteau Field School, North Dakota - mid-tower camera"
NEON.D09.NOGP.DP1.00033,46.769720,-100.915350,589,"NEON Site - D09 (Northern Plains) Northern Great Plains Research Laboratory, North Dakota - top-of-tower camera"
NEON.D09.NOGP.DP1.00042,46.769720,-100.915350,589,"NEON Site - D09 (Northern Plains) Northern Great Plains Research Laboratory, North Dakota - mid-tower camera"
NEON.D09.PRLA.DP1.20002,47.159090,-99.113880,563,"NEON Site - D09 (Northern Plains) Prairie Lake at Dakota Coteau Field School, North Dakota - aquatic/stream-gauge camera"
NEON.D09.PRPO.DP1.20002,47.129990,-99.250551,587,"NEON Site - D09 (Northern Plains) Prairie Pothole, North Dakota -"
NEON.D09.WOOD.DP1.00033,47.128200,-99.241334,585,"NEON Site - D09 (Northern Plains) Woodworth, North Dakota - tower top"
NEON.D09.WOOD.DP1.00042,47.128200,-99.241334,585,"NEON Site - D09 (Northern Plains) Woodworth, North Dakota - mid-tower"
NEON.D10.ARIK.DP1.20002,39.758246,-102.447103,1188,NEON Site - D10 (Central Plains) Arikaree River Colorado
NEON.D10.CPER.DP1.00033,40.815530,-104.745600,1600,"NEON Site - D10 (Central Plains) Central Plains Experimental Range, Nunn, CO top"
NEON.D10.CPER.DP1.00042,40.815530,-104.745600,1600,"NEON Site - D10 (Central Plains) Central Plains Experimental Range, Nunn, CO mid"
NEON.D10.HQT2.DP1.00033,40.016704,-105.245612,1601,NEON Headquarters Parking Lot Tower test site - top of tower
NEON.D10.HQT2.DP1.00042,40.016704,-105.245612,1601,NEON Headquarters Parking Lot Tower test site - mid tower
NEON.D10.HQTW.DP1.00033,40.016704,-105.245612,1601,NEON Headquarters Parking Lot Tower test site - top of tower
NEON.D10.HQTW.DP1.00042,40.016704,-105.245612,1601,NEON Headquarters Parking Lot Tower test site - mid tower
NEON.D10.RMNP.DP1.00033,40.275903,-105.545955,2751,"NEON Site - D10 (Central Plains) Rocky Mountain National Park CASTNET, Colorado - tower top"
NEON.D10.RMNP.DP1.00042,40.275903,-105.545955,2751,"NEON Site - D10 (Central Plains) Rocky Mountain National Park CASTNET, Colorado - mid-tower"
NEON.D10.STER.DP1.00033,40.461894,-103.029290,1366,"NEON Site - D10 (Central Plains) Sterling, Colorado - tower top"
NEON.D10.STER.DP1.00042,40.461894,-103.029290,1366,"NEON Site - D10 (Central Plains) Sterling, Colorado - mid-tower"
NEON.D11.BLUE.DP1.20002,34.444218,-96.624201,288,"NEON Site - D11 (Southern Plains) Blue River, Oklahoma - aquatic/stream-gauge camera"
NEON.D11.CLBJ.DP1.00033,33.401230,-97.570000,279,"NEON Site - D11 (Southern Plains) LBJ National Grassland, Texas - tower top"
NEON.D11.CLBJ.DP1.00042,33.401230,-97.570000,279,"NEON Site - D11 (Southern Plains) LBJ National Grassland, Texas - mid-tower"
NEON.D11.OAES.DP1.00033,35.410590,-99.058790,520,"NEON Site - D11 (Southern Plains) Klemme Range Research Station, Oklahoma - top-of-tower camera"
NEON.D11.OAES.DP1.00042,35.410590,-99.058790,520,"NEON Site - D11 (Southern Plains) Klemme Range Research Station, Oklahoma - mid-tower camera"
NEON.D11.PRIN.DP1.20002,33.378590,-97.782260,255,"NEON Site - D11 (Southern Plains) Pringle Creek, Texas - aquatic/stream-gauge camera"
NEON.D12.BLDE.DP1.20002,44.950110,-110.587150,2035,"NEON Site - D12 (Northern Rockies) Blacktail Deer Creek, Wyoming - aquatic/stream-gauge camera"
NEON.D12.YELL.DP1.00033,44.953480,-110.539140,2130,"NEON Site - D12 (Northern Rockies) Yellowstone National Park, Wyoming - top-of-tower camera"
NEON.D12.YELL.DP1.00042,44.953480,-110.539140,2130,"NEON Site - D12 (Northern Rockies) Yellowstone National Park, Wyoming - mid-tower camera"
NEON.D13.COMO.DP1.20002,40.034960,-105.544870,3036,"NEON Site - D13 (Southern Rockies and Colorado Plateau) Como Creek, Colorado -"
NEON.D13.MOAB.DP1.00033,38.248330,-109.388270,1803,"NEON Site - D13 (Southern Rockies and Colorado Plateau) Moab, Utah - top-of-tower camera"
NEON.D13.MOAB.DP1.00042,38.248330,-109.388270,1803,"NEON Site - D13 (Southern Rockies and Colorado Plateau) Moab, Utah - mid-tower camera"
NEON.D13.NIWO.DP1.00033,40.054250,-105.582370,3493,"NEON Site - D13 (Southern Rockies and Colorado Plateau) Niwot Ridge Mountain Research Station, Colorado - tower top"
NEON.D13.NIWO.DP1.00042,40.054250,-105.582370,3493,"NEON Site - D13 (Southern Rockies and Colorado Plateau) Niwot Ridge Mountain Research Station, Colorado - mid-tower"
NEON.D13.WLOU.DP1.20002,39.891366,-105.915395,2920,"NEON Site - D13 (Southern Rockies and Colorado Plateau) West St Louis Creek, Colorado - aquatic/stream-gauge camera"
NEON.D14.JORN.DP1.00033,32.590680,-106.842540,1321,"NEON Site - D14 (Desert Southwest) Jornada LTER, New Mexico - top-of-tower camera"
NEON.D14.JORN.DP1.00042,32.590680,-106.842540,1321,"NEON Site - D14 (Desert Southwest) Jornada LTER, New Mexico - mid-tower camera"
NEON.D14.SRER.DP1.00033,31.910680,-110.835490,999,"NEON Site - D14 (Desert Southwest) Santa Rita Experimental Range, Arizona - tower top"
NEON.D14.SRER.DP1.00042,31.910680,-110.835490,999,"NEON Site - D14 (Desert Southwest) Santa Rita Experimental Range, Arizona - mid-tower"
NEON.D14.SYCA.DP1.20002,33.749057,-111.506903,644,"NEON Site - D14 (Desert Southwest) Sycamore Creek, Arizona - aquatic/stream-gauge camera"
NEON.D15.ONAQ.DP1.00033,40.177599,-112.452452,1655,"NEON Site - D15 (Great Basin) Onaqui, Utah - top-of-tower camera"
NEON.D15.ONAQ.DP1.00042,40.177599,-112.452452,1655,"NEON Site - D15 (Great Basin) Onaqui, Utah - mid-tower camera"
NEON.D15.REDB.DP1.20002,40.783934,-111.797887,1696,"NEON Site - D15 (Great Basin) Red Butte Creek, Utah - aquatic/stream-gauge camera"
NEON.D16.ABBY.DP1.00033,45.762430,-122.330330,390,"NEON Site - D16 (Pacific Northwest) Abby Road, Washington - tower top"
NEON.D16.ABBY.DP1.00042,45.762430,-122.330330,390,"NEON Site - D16 (Pacific Northwest) Abby Road, Washington - mid-tower"
NEON.D16.MART.DP1.20002,45.791248,-121.931959,354,"NEON Site - D16 (Pacific Northwest) Martha Creek, Washington - aquatic/stream-gauge camera"
NEON.D16.MCRA.DP1.20002,44.259598,-122.165554,880,"NEON Site - D16 (Pacific Northwest) McRae Creek, Oregon - aquatic/stream-gauge camera"
NEON.D16.WREF.DP1.00033,45.820490,-121.951910,368,"NEON Site - D16 (Pacific Northwest) Wind River Experimental Forest, Washington - top-of-tower camera"
NEON.D16.WREF.DP1.00042,45.820490,-121.951910,368,"NEON Site - D16 (Pacific Northwest) Wind River Experimental Forest, Washington - mid-tower camera"
NEON.D17.BIGC.DP1.20002,37.059719,-119.257549,1133,"NEON Site - D17 (Pacific Southwest) Upper Big Creek, California - aquatic/stream-gauge camera"
NEON.D17.SJER.DP1.00033,37.108780,-119.732280,398,"NEON Site - D17 (Pacific Southwest) San Joaquin, California - top-of-tower camera"
NEON.D17.SJER.DP1.00042,37.108780,-119.732280,398,"NEON Site - D17 (Pacific Southwest) San Joaquin, California - mid-tower camera"
NEON.D17.SOAP.DP1.00033,37.033370,-119.262190,1210,"NEON Site - D17 (Pacific Southwest) Soaproot Saddle, California - top-of-tower camera"
